week;rank;rise;rise_nb;name;artist;last_week;peak;week_chart
"
                January 5, 2019
                ";1;Steady;-;Thank U, Next;Ariana Grande;1;1;8
"
                January 5, 2019
                ";2;Steady;-;Without Me;Halsey;2;2;12
"
                January 5, 2019
                ";3;Rising;+4;All I Want For Christmas Is You;Mariah Carey;7;3;30
"
                January 5, 2019
                ";4;Failing;-1;Sicko Mode;Travis Scott;3;1;21
"
                January 5, 2019
                ";5;Failing;-1;Sunflower (Spider-Man: Into The Spider-Verse);Post Malone & Swae Lee;4;4;10
"
                January 5, 2019
                ";6;Steady;-;High Hopes;Panic! At The Disco;6;5;21
"
                January 5, 2019
                ";7;Failing;-2;Happier;Marshmello & Bastille;5;3;19
"
                January 5, 2019
                ";8;Rising;+5;Jingle Bell Rock;Bobby Helms;13;8;25
"
                January 5, 2019
                ";9;Rising;+2;Rockin' Around The Christmas Tree;Brenda Lee;11;9;27
"
                January 5, 2019
                ";10;Rising;+2;A Holly Jolly Christmas;Burl Ives;12;10;10
"
                January 5, 2019
                ";11;Rising;+6;The Christmas Song (Merry Christmas To You);Nat King Cole;17;11;17
"
                January 5, 2019
                ";12;Failing;-3;Drip Too Hard;Lil Baby & Gunna;9;4;15
"
                January 5, 2019
                ";13;Failing;-3;It's The Most Wonderful Time Of The Year;Andy Williams;10;10;10
"
                January 5, 2019
                ";14;Rising;+1;Girls Like You;Maroon 5 Featuring Cardi B;15;1;31
"
                January 5, 2019
                ";15;Failing;-7;ZEZE;Kodak Black Featuring Travis Scott & Offset;8;2;11
"
                January 5, 2019
                ";16;Rising;+12;Rudolph The Red-Nosed Reindeer;Gene Autry;28;16;4
"
                January 5, 2019
                ";17;Failing;-1;Mo Bamba;Sheck Wes;16;6;18
"
                January 5, 2019
                ";18;Failing;-4;Wake Up In The Sky;Gucci Mane X Bruno Mars X Kodak Black;14;11;15
"
                January 5, 2019
                ";19;Rising;+11;Money;Cardi B;30;13;10
"
                January 5, 2019
                ";20;Rising;+12;Let It Snow, Let It Snow, Let It Snow;Dean Martin;32;20;4
"
                January 5, 2019
                ";21;Failing;-3;Eastside;benny blanco, Halsey & Khalid;18;16;24
"
                January 5, 2019
                ";22;Failing;-3;Breathin;Ariana Grande;19;12;19
"
                January 5, 2019
                ";23;Failing;-2;Better Now;Post Malone;21;3;35
"
                January 5, 2019
                ";24;Failing;-4;Youngblood;5 Seconds Of Summer;20;7;30
"
                January 5, 2019
                ";25;Rising;+2;Last Christmas;Wham!;27;25;9
"
                January 5, 2019
                ";26;Rising;+7;Sleigh Ride;The Ronettes;33;26;3
"
                January 5, 2019
                ";27;Failing;-4;Lucid Dreams;Juice WRLD;23;2;33
"
                January 5, 2019
                ";28;Rising;+7;Here Comes Santa Claus (Right Down Santa Claus Lane);Gene Autry;35;28;3
"
                January 5, 2019
                ";29;Rising;+5;Feliz Navidad;Jose Feliciano;34;29;5
"
                January 5, 2019
                ";30;Failing;-5;Taki Taki;DJ Snake Featuring Selena Gomez, Ozuna & Cardi B;25;11;13
"
                January 5, 2019
                ";31;Failing;-5;MIA;Bad Bunny Featuring Drake;26;5;11
"
                January 5, 2019
                ";32;Rising;+9;(There's No Place Like) Home For The Holidays;Perry Como;41;32;2
"
                January 5, 2019
                ";33;Failing;-2;Leave Me Alone;Flipp Dinero;31;27;15
"
                January 5, 2019
                ";34;Rising;+14;White Christmas;Bing Crosby;48;12;15
"
                January 5, 2019
                ";35;Rising;+7;It's Beginning To Look A Lot Like Christmas;Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra;42;35;2
"
                January 5, 2019
                ";36;Failing;-14;Going Bad;Meek Mill Featuring Drake;22;6;4
"
                January 5, 2019
                ";37;New;-;A Lot;21 Savage;-;37;1
"
                January 5, 2019
                ";38;Failing;-9;Trip;Ella Mai;29;11;21
"
                January 5, 2019
                ";39;Rising;+1;I Like It;Cardi B, Bad Bunny & J Balvin;40;1;38
"
                January 5, 2019
                ";40;New;-;Blue Christmas;Elvis Presley;-;40;1
"
                January 5, 2019
                ";41;Failing;-5;Speechless;Dan + Shay;36;33;16
"
                January 5, 2019
                ";42;Rising;+3;Happy Xmas (War Is Over);John & Yoko/The Plastic Ono Band With The Harlem Community Choir;45;42;2
"
                January 5, 2019
                ";43;Rising;+7;Christmas (Baby Please Come Home);Darlene Love;50;43;2
"
                January 5, 2019
                ";44;Re-Enter;-;Underneath The Tree;Kelly Clarkson;-;44;4
"
                January 5, 2019
                ";45;Re-Enter;-;Run Rudolph Run;Chuck Berry;-;45;4
"
                January 5, 2019
                ";46;Failing;-3;Natural;Imagine Dragons;43;13;23
"
                January 5, 2019
                ";47;New;-;Wow.;Post Malone;-;47;1
"
                January 5, 2019
                ";48;Failing;-11;Love Lies;Khalid & Normani;37;9;45
"
                January 5, 2019
                ";49;New;-;Jingle Bells;Frank Sinatra;-;49;1
"
                January 5, 2019
                ";50;Failing;-12;Beautiful;Bazzi Featuring Camila Cabello;38;30;21
"
                January 5, 2019
                ";51;Failing;-12;Better;Khalid;39;29;15
"
                January 5, 2019
                ";52;Failing;-8;Shallow;Lady Gaga & Bradley Cooper;44;5;13
"
                January 5, 2019
                ";53;Rising;+15;Cozy Little Christmas;Katy Perry;68;53;2
"
                January 5, 2019
                ";54;Failing;-3;She Got The Best Of Me ;Luke Combs;51;34;20
"
                January 5, 2019
                ";55;Rising;+35;The Christmas Song;Lauren Daigle;90;55;2
"
                January 5, 2019
                ";56;Failing;-7;Uproar;Lil Wayne;49;7;13
"
                January 5, 2019
                ";57;New;-;Swervin;A Boogie Wit da Hoodie Featuring 6ix9ine;-;57;1
"
                January 5, 2019
                ";58;New;-;Can't Leave Without It;21 Savage;-;58;1
"
                January 5, 2019
                ";59;Steady;-;You Say;Lauren Daigle;59;44;24
"
                January 5, 2019
                ";60;Failing;-3;Close To Me;Ellie Goulding X Diplo Featuring Swae Lee;57;57;6
"
                January 5, 2019
                ";61;Failing;-6;Best Shot;Jimmie Allen;55;46;15
"
                January 5, 2019
                ";62;Failing;-9;Dangerous;Meek Mill Featuring Jeremih & PnB Rock;53;31;19
"
                January 5, 2019
                ";63;Steady;-;Be Alright;Dean Lewis;63;63;9
"
                January 5, 2019
                ";64;Failing;-10;Drunk Me;Mitchell Tenpenny;54;53;20
"
                January 5, 2019
                ";65;New;-;Startender;A Boogie Wit da Hoodie Featuring Offset & Tyga;-;65;1
"
                January 5, 2019
                ";66;Rising;+30;Look Back At It;A Boogie Wit da Hoodie;96;66;3
